price,brand,model,year,title_status,mileage,color,vin,lot,state,country
6830,ford,mpv,2017,clean vehicle,35888.0,gold,1fm5k7dh9hgb05630,167656369,texas,usa
11900,dodge,caravan,2017,clean vehicle,59537.0,gray,2c4rdgcg3hr864989,167755906,south carolina,usa
26414,chevrolet,1500,2017,clean vehicle,55222.0,black,3gcukrec3hg429109,167765140,michigan,usa
4160,dodge,mpv,2018,clean vehicle,32870.0,gray,3c4pdcab8jt166940,167656464,florida,usa
19405,chevrolet,door,2017,clean vehicle,39687.0,silver,1gnkvgkd0hj145877,167765141,michigan,usa
5690,dodge,mpv,2018,clean vehicle,47085.0,silver,2c4rdgeg8jr337145,167656466,florida,usa
25900,chrysler,van,2017,clean vehicle,32224.0,silver,2c4rc1gg4hr635019,167756044,south carolina,usa
24005,chevrolet,1500,2017,clean vehicle,51293.0,beige,1gcukrecxhf153500,167765146,michigan,usa
5090,dodge,mpv,2018,clean vehicle,42989.0,gray,2c4rdgcg2jr218218,167656467,florida,usa
19500,chrysler,300,2017,clean vehicle,31311.0,gray,2c3ccabg5hh538726,167756093,arizona,usa
32012,chevrolet,1500,2017,clean vehicle,46091.0,white,3gcuksej6hg353147,167765148,michigan,usa
6800,dodge,dart,2016,clean vehicle,49033.0,black,1c3cdffh0gd823262,167756148,michigan,usa
4260,dodge,mpv,2018,clean vehicle,33957.0,gray,3c4pdcabxjt311007,167656471,florida,usa
0,dodge,van,2008,salvage insurance,177948.0,orange,2d8hn44h88r669549,167756157,utah,usa
31802,chevrolet,2500,2017,clean vehicle,19845.0,silver,1gc1kveg3hf189737,167765152,michigan,usa
7210,dodge,doors,2018,clean vehicle,38910.0,black,2c3cdxct1jh233225,167656472,florida,usa
0,dodge,door,2014,salvage insurance,123660.0,silver,1c3cdzab0en111068,167756167,utah,usa
28402,chevrolet,1500,2017,clean vehicle,31234.0,black,3gcukrec4hg196549,167765157,michigan,usa
6800,dodge,doors,2018,clean vehicle,36767.0,gray,2c3cdxhgxjh125388,167656473,florida,usa
33300,cadillac,esv,2015,clean vehicle,57932.0,gray,1gys4tkj0fr538846,167765183,washington,usa
10780,dodge,mpv,2018,clean vehicle,19420.0,white,1c4sdjct1jc174166,167656474,florida,usa
6700,ford,cutaway,2014,clean vehicle,204155.0,beige,1fdfe4fs7eda23699,167756194,pennsylvania,usa
20000,chevrolet,1500,2016,clean vehicle,93493.0,white,3gcuknec9gg342967,167765203,washington,usa
6440,chrysler,doors,2018,clean vehicle,20942.0,gray,2c3ccakg8jh168457,167656475,florida,usa
19900,ford,door,2016,clean vehicle,86826.0,gray,1fm5k8f8xggc51519,167756205,south carolina,usa
37000,chevrolet,door,2015,clean vehicle,45787.0,white,1gc1kwegxff145382,167765217,washington,usa
4040,dodge,mpv,2018,clean vehicle,50765.0,red,3c4pdcab6jt273002,167656476,florida,usa
22300,ford,explorer,2016,clean vehicle,62774.0,black,1fm5k8fh9ggc37790,167756208,south carolina,usa
31200,chevrolet,door,2011,clean vehicle,76326.0,gray,1gc1kxc86bf208814,167765320,washington,usa
4290,dodge,mpv,2018,clean vehicle,39029.0,white,3c4pdcab0jt474412,167656477,florida,usa
22800,ford,el,2016,clean vehicle,72885.0,silver,1fmjk1ht3gef52975,167756210,south carolina,usa
19002,cadillac,door,2016,clean vehicle,46467.0,white,1g6ah1rx1g0193887,167765761,michigan,usa
4160,dodge,mpv,2018,clean vehicle,6743.0,gray,3c4pdcab8jt384019,167656478,florida,usa
18500,ford,edge,2016,clean vehicle,33514.0,white,2fmpk3j98gbb59781,167756214,south carolina,usa
39000,bmw,series,2016,clean vehicle,39917.0,blue,wba7f2c57gg421020,167765766,michigan,usa
6060,dodge,doors,2018,clean vehicle,32504.0,black,3c4pddgg1jt523058,167656479,florida,usa
28800,ford,door,2016,clean vehicle,77638.0,white,1ftew1ep1gfc64335,167756219,south carolina,usa
40000,bmw,series,2016,clean vehicle,31727.0,gray,wba7f2c55gg415264,167765767,michigan,usa
6140,dodge,doors,2018,clean vehicle,52966.0,silver,2c3cdxbg0jh187083,167656480,florida,usa
21000,ford,flex,2016,clean vehicle,24157.0,gray,2fmhk6c89gba05297,167756222,south carolina,usa
20105,buick,door,2016,clean vehicle,51393.0,beige,5gakvbkd8gj196085,167765770,michigan,usa
6760,dodge,doors,2018,clean vehicle,35461.0,white,2c3cdzag7jh321665,167656483,florida,usa
25800,ford,door,2014,clean vehicle,47055.0,brown,1ft7x2b62eea29551,167756277,pennsylvania,usa
11760,ford,cab,2017,clean vehicle,30553.0,white,1fd8w3ht4hed36245,167656779,texas,usa
31700,dodge,durango,2019,clean vehicle,26549.0,red,1c4sdjct5kc744865,167759499,ohio,usa
25,dodge,door,2007,salvage insurance,160528.0,dark blue,2b3ka43g87h836300,167416803,minnesota,usa
0,ford,door,2000,salvage insurance,124969.0,black,1fafp34p7yw270338,167251902,oklahoma,usa
7340,ford,doors,2019,clean vehicle,15854.0,gray,1fatp8uh7k5172626,167693585,florida,usa
8200,hyundai,door,2017,clean vehicle,56690.0,white,5npd84lf6hh128808,167117726,connecticut,usa
3000,kia,door,2013,clean vehicle,97142.0,silver,knagm4a75d5378293,167552545,missouri,usa
6530,jeep,mpv,2019,clean vehicle,10185.0,black,3c4njdcb3kt659526,167680488,georgia,usa
0,mazda,door,2009,salvage insurance,117541.0,gray,jm3er293590215768,167543177,indiana,usa
12700,kia,soul,2019,clean vehicle,23514.0,silver,kndjp3a55k7006351,167679072,california,usa
13800,kia,sorento,2017,clean vehicle,86959.0,gray,5xyphda50hg232046,167803771,north carolina,usa
0,chevrolet,pickup,1998,salvage insurance,258631.0,gray,1gccs1445wk226994,167417659,texas,usa
725,ford,door,2017,salvage insurance,67279.0,gray,3fa6p0h75hr150081,167255037,virginia,usa
7400,ford,doors,2019,clean vehicle,16482.0,gray,1fatp8uh2k5188622,167693593,florida,usa
9800,hyundai,elantra,2017,clean vehicle,35687.0,red,kmhd84lf5hu191402,167117732,connecticut,usa
0,honda,door,2003,salvage insurance,152608.0,white,1hgcm56363a030975,167552893,arkansas,usa
4400,jeep,mpv,2019,clean vehicle,17911.0,green,3c4njcbbxkt664931,167680540,georgia,usa
10330,infiniti,mpv,2019,clean vehicle,21278.0,blue,5n1dl0mm9kc550722,167698666,florida,usa
1800,chevrolet,door,2011,salvage insurance,47269.0,black,2g1fb3ddxb9212618,167418537,arkansas,usa
